Year,Summer,Fall,Winter,Spring,Spring_Summer,Total,GDP_PER_PRE
2000,0,25,,,,25,441.9987596
2001,1,23,15,0,0,39,443.3141934
2002,0,31,19,0,0,50,451.5730011
2003,1,8,1,2,0,12,470.9867859
2004,0,16,4,0,1,21,546.7266145
2005,0,27,11,1,0,39,627.7742473
2006,0,34,20,1,0,55,714.8610135
2007,0,18,27,0,0,45,806.7532806
2008,0,19,17,1,0,37,1028.334771
2009,0,15,15,0,0,30,998.522339
2010,0,27,10,0,0,37,1101.96084
2011,0,12,17,0,0,29,1357.563719
2012,0,16,9,0,0,25,1458.103527
2013,1,11,7,0,0,19,1443.879529
2014,0,14,9,1,0,24,1449.605912
2015,0,20,7,0,0,27,1573.881492
2016,1,28,13,0,0,42,1605.605434
2017,2,28,16,1,0,47,1732.564262
2018,0,27,14,0,0,41,1981.65105
2019,0,39,13,0,0,52,2005.863005
2020,0,28,17,0,0,45,2099.599048
2021,,,12,,,12,
